Название;Описание;Цена;Количество игроков;Время игры;Возрастное ограничение;Ссылка
Ужас Аркхэма. Карточная игра;Столкнитесь с потаёнными страхами!;3490₽;_1-2;_60-120;14+;https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra
Битоку;Станьте Великим Духом!;4990₽;_1-4;_120;13+;https://hobbygames.ru/bitoku
Прогулки с собаками;Они не лают, не кусаются;3990₽;_1-4;_40-80;10+;https://hobbygames.ru/progulki-s-sobakami
Каркассон;Легенда в новом виде;1990₽;_2-5;_35+;7+;https://hobbygames.ru/karkasson
Властелин колец: Странствия в Средиземье;Испытайте свою судьбу;8990₽;_1-5;_60+;13+;https://hobbygames.ru/vlastelin-kolec-stranstvija-v-sredizeme
Эверделл;Сказки вечного леса;5990₽;_1-4;_40-80;10+;https://hobbygames.ru/jeverdell
Войны Чёрной Розы;Могущественная ложа;11990₽;_2-4;_90+;13+;https://hobbygames.ru/vojni-chjornoj-rozi
Неудержимые единорожки 18+;Взрослый ржач;990₽;_2-8;_30-60;18+;https://hobbygames.ru/neuderzhimie-edinorozhki-18
Особняки безумия. Вторая редакция;Никто не выйдет;8990₽;_1-5;_120-180;13+;https://hobbygames.ru/osobnjaki-bezumija-vtoraja-redakcija
Descent: Сказания тьмы;Терринот в опасности!;14990₽;_1-4;_180-240;13+;https://hobbygames.ru/descent-skazanija-tmi
Властелин колец. Странствия в Средиземье: Ветер войны;Защитите Рохан и Гондор!;5490₽;_1-5;_60+;13+;https://hobbygames.ru/vlastelin-kolec-stranstvija-v-sredizeme-veter-vojni
Манчкин;Хапай сокровища, бей монстров!;1290₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin
Fallout;Пустошь ждёт!;5490₽;_1-4;_120-180;13+;https://hobbygames.ru/fallout-nastolnaja-igra
Древний Ужас;Конец света близок!;5490₽;_1-8;_120-280;13+;https://hobbygames.ru/drevnij-uzhas
Catan: Колонизаторы;Одна из лучших настолок для всей семьи!;3990₽;_3-4;_45-90;10+;https://hobbygames.ru/catan
Бункер;Докажите свою полезность, чтобы выжить;2990₽;_4-16;_30-60;18+;https://hobbygames.ru/bunker
